,Unnamed: 0,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv,kdd99-unsupervised-ad.csv
0,0,ISO,0.020666471198618,0.154486449067663,0.172734554394037,0.016553266772776,0.052526624530136,0.090374142124153,0.183976297084093,0.058112809985744,0.079888935054824,0.120503758829457
1,1,KNN,0.029353305622586,0.176137822624793,0.181826609766401,0.017510555075249,0.0718054260925,0.175688094540058,0.186733236642397,0.047638154889692,0.085673252519027,0.13456826515345
2,2,KthNN,0.030060372743753,0.173521900002721,0.18280586507485,0.0173931803164,0.068355908631233,0.153428963799388,0.183845114119256,0.047679582710758,0.084828504287042,0.126614231599206
3,3,LOF,0.035723515294605,0.188991758875949,0.17988667302279,0.018215620327657,0.069040962454646,0.131833049647986,0.15681060855756,0.05123895664543,0.06172434099376,0.008108680664155
4,4,CBLOF,0.000900326636526,0.096347800493899,0.090366216295581,0.015161925079257,0.025443377280684,0.022747269011136,0.061391745397589,0.011955831364964,0.090628433561529,0.017502162092249
5,5,uCBLOF,0.029548352704692,0.167890729585485,0.182531377088795,0.017343714344534,0.061132189231446,0.13184150315168,0.171963165507995,0.047727029371999,0.086090364452594,0.07821423237672
6,6,LOoP,0.033345154668699,0.174447961719246,0.172779208629892,0.018613239306702,0.078135272589197,0.139618550748655,0.149812803584772,0.058423150764884,0.055946519989452,0
7,7,LDCOF,0.00594698486955,0.152508598064311,0.18623534520191,0.016356619394127,0.065323008337827,0.076147700882039,0.113966060982717,0.031197997919948,0.046107570685214,0.039848240748113
8,8,HBOS,0.015616033903503,0.185570661614614,0.173494070099555,0.017451497571651,0.068846465372734,0.141562803763923,0.222432962834862,0.068681803003694,0.093788469680383,0.0689861948788
9,9,OCSVM,0.096847443992151,0.141786892612689,0.052211649972445,0.357136063837057,0.096494582611967,0.167938445604674,0.068197291772476,0.012090113125395,0.087712284784756,0.231178714233352
10,10,Nu-OCSVM,0.001145241005292,0.100164763644464,0.103783513276941,0.508142690965491,0.092942764927964,0.169817582372264,0.070760557240571,0.01069210126453,0.087712284784756,0.233914970413956
11,11,RED1,0.018642145768401,0.166262238272899,0.180312118561756,0.017592308957477,0.078386001346897,0.12578427803755,0.211519982700237,0.06189419877516,0.042793251735807,0.022368365855463
12,12,RED2,0.021289074132686,0.187491852073733,0.176164379955006,0.017561975893365,0.047703485387592,0.107933259283165,0.215113805704213,0.066224626918817,0.070282946110919,0.211356789808968
