,Unnamed: 0,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv,kdd99-unsupervised-ad.csv
0,0,ISO,0.965311768461375,0.583293887468838,0.63798049340218,0.525311109859789,0.609577999793778,0.789390841384048,0.808462585034014,0.461084750951152,0.654614536770559,0.97620335800866
1,1,KNN,0.971057671845073,0.610337972166998,0.724612736660929,0.543639844585844,0.654864669035988,0.896443468430422,0.822394557823129,0.469103948922027,0.77748208927806,0.961807236162733
2,2,KthNN,0.970784057398231,0.606488055792231,0.730349971313827,0.540861910392852,0.640514496023754,0.867764147383553,0.817700680272109,0.466890059911663,0.775304635356071,0.964520753604827
3,3,LOF,0.947466026206184,0.596989491621698,0.710269650028686,0.549833887043189,0.690500025331384,0.871077125575856,0.762013605442177,0.458198495648751,0.697580062457902,0.720345827443683
4,4,CBLOF,0.234061958471407,0.402063807630408,0.762478485370052,0.448298515306793,0.415907366812718,0.49565199002142,0.357482993197279,0.404879302050991,0.479474618823097,0.757180855079888
5,5,uCBLOF,0.96777429848296,0.585061062198239,0.728055077452668,0.538478142538056,0.617196511053857,0.801015234634467,0.803809523809524,0.468289456421918,0.770032453615822,0.888233712332827
6,6,LOoP,0.946280363603198,0.587270030609991,0.635111876075731,0.564028567674606,0.711692322225019,0.874305156915996,0.748081632653061,0.465646455591026,0.6459071704121,0
7,7,LDCOF,0.865260085732527,0.534128561961564,0.585197934595525,0.504851999924921,0.590787232447025,0.772174122192505,0.64643537414966,0.461292473870643,0.63854264894985,0.869269242400345
8,8,HBOS,0.945702733104308,0.668276057938086,0.643144004589788,0.539482328209171,0.621834358194245,0.797444613200089,0.837918367346939,0.521127607469279,0.763547853775029,0.846433600439506
9,9,OCSVM,0.972927370565166,0.533024077755688,0.724899598393574,0.546216003153331,0.628150228161,0.831123874371402,0.535414965986394,0.417375475576158,0.760592737738044,0.947676745882462
10,10,Nu-OCSVM,0.402061228832882,0.451765596894822,0.618187033849684,0.5,0.630110216068891,0.829341901397954,0.543156462585034,0.331602309004242,0.760592737738044,0.939608628979728
11,11,RED1,0.952907913537835,0.656032061598662,0.700516351118761,0.540655442310941,0.622432184426756,0.784797112316606,0.841469387755102,0.513316132417895,0.569646684220195,0.805451862719778
12,12,RED2,0.967500684036117,0.6868313925968,0.653471026965003,0.541631473243614,0.601880885919947,0.820273455484562,0.843238095238095,0.539981195609393,0.707839079052109,0.986373103974099
