,Unnamed: 0,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv,kdd99-unsupervised-ad.csv
0,0,ISO,0.9585626121059192,0.8569535169932785,0.9173838209982788,0.5389755429172063,0.5860075658258879,0.992852412870238,0.7693061224489797,0.9252744129094328,0.5955654889474007,0.9789073546229641
1,1,KNN,0.9716353023439638,0.6814983117169996,0.8083763625932301,0.5439120070574545,0.6549993326798506,0.9513637740658332,0.8300544217687075,0.5382264835789566,0.7676468066866694,0.9612008222985168
2,2,KthNN,0.9719089167908066,0.6741140458834296,0.8106712564543891,0.5399421889370648,0.6399998337279227,0.9313131320852212,0.8226666666666667,0.5357720732933922,0.7651123629906312,0.9644956887283733
3,3,LOF,0.9457331347095128,0.646628167502919,0.8049340218014917,0.5457514499690298,0.6919855240628057,0.9216172413063878,0.7703673469387755,0.5524992347050334,0.7120568244443084,0.6935880151788426
4,4,CBLOF,0.3173319551272307,0.429644356085708,0.3608720596672403,0.5155695703586913,0.429265877532692,0.5775247037625035,0.3527482993197279,0.467332837713736,0.5807507194905395,0.5268087854567981
5,5,uCBLOF,0.9794181132763812,0.6412950866231184,0.8095238095238094,0.5397920303320383,0.6168723362990023,0.8439878954557509,0.8064625850340137,0.5445510998381948,0.7389700569469108,0.8979320448494357
6,6,LOoP,0.9277353844282978,0.6538230931869102,0.7934595524956971,0.5374598794977195,0.7133480266517402,0.9044220008780048,0.7522040816326531,0.5792408273931866,0.6544210397403709,0.0
7,7,LDCOF,0.5664731097801963,0.5422386317018524,0.5559380378657487,0.4996058336618053,0.5004587547047187,0.8539607170492715,0.5281224489795919,0.5775462456815499,0.6407507194905394,0.5435755573645912
8,8,HBOS,0.9436050223451798,0.7725078102811701,0.902467010900746,0.4870863599677159,0.5666076456588036,0.9977802475382866,0.7738639455782313,0.9482660602615122,0.7773963627456985,0.9876165526161486
9,9,OCSVM,0.6382512996686225,0.4886553693710751,0.5037292025243831,0.5462160031533307,0.6277081564600161,0.8740100596029308,0.572625850340136,0.5111405081558578,0.7549721388769826,0.9618018635500485
10,10,Nu-OCSVM,0.5295351594564193,0.4725930133484805,0.42512908777969016,0.5,0.6294710031540363,0.9004118928650505,0.5327278911564626,0.4047317094502996,0.7549721388769826,0.9565370464517817
