,dataset,accuracy
0,pen-local-unsupervised-ad.csv,0.8848
1,pen-global-unsupervised-ad.csv,0.9176
2,breast-cancer-unsupervised-ad.csv,0.9811
3,speech-unsupervised-ad.csv,0.3456
4,aloi-unsupervised-ad.csv,0.7296
5,shuttle-unsupervised-ad.csv,0.808
6,letter-unsupervised-ad.csv,0.9009
7,satellite-unsupervised-ad.csv,0.9631
8,annthyroid-unsupervised-ad.csv,0.3536
