,dataset,accuracy
0,pen-local-unsupervised-ad.csv,0.9336
1,pen-global-unsupervised-ad.csv,0.9701
2,breast-cancer-unsupervised-ad.csv,0.9964
3,speech-unsupervised-ad.csv,0.5782
4,aloi-unsupervised-ad.csv,0.8581
5,shuttle-unsupervised-ad.csv,0.8648
6,letter-unsupervised-ad.csv,0.9497
7,satellite-unsupervised-ad.csv,0.9698
8,annthyroid-unsupervised-ad.csv,0.4482
