,Unnamed: 0,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv,kdd99-unsupervised-ad.csv
0,0,ISO,0.013553133591928,0.536843650234396,0.24297943670002,0.013266002495342,0.042381181745347,0.086841627403043,0.220262869920789,0.460932525660184,0.055567991551184,0.169232961365906
1,1,KNN,0.019253922623956,0.508901547470016,0.273153004463681,0.013859686592926,0.065704378957166,0.144447211160498,0.30032875153453,0.382599960730444,0.059031624450972,0.153418410896877
2,2,KthNN,0.0172688163388,0.504105606631733,0.292694930430779,0.013786914042496,0.062209017706558,0.121250248734138,0.286386416978652,0.383883319639111,0.056334130024823,0.138934648300896
3,3,LOF,0.015058319570936,0.452740225136564,0.504672070626894,0.014880335437446,0.06517900446191,0.04361985893923,0.283134581366105,0.28919005790914,0.075404452224822,0.005610429745029
4,4,CBLOF,0.00095478732898,0.097679454592397,0.023061213011207,0.016060542845522,0.03448391992859,0.206498891601867,0.046668947466459,0.007666693878035,0.040184042705677,0.038302914425955
5,5,uCBLOF,0.013955965772385,0.520588743034542,0.296281513486445,0.013660330282169,0.056067786858655,0.052662044839044,0.266030469471529,0.373795181358477,0.046738171688867,0.092605510850911
6,6,LOoP,0.021026161618968,0.46045632175676,0.455756836239248,0.015271461834313,0.076525886605834,0.039591504045454,0.259044127025205,0.2718066839554,0.078748214756068,0
7,7,LDCOF,0.027577762739255,0.476003121269198,0.182384672619048,0.014576405579485,0.297410821581668,0.054290422120343,0.180611901503154,0.160513520262022,0.037572249255838,0.020982693569191
8,8,HBOS,0.00945487407695,0.571323297429246,0.396636560031539,0.016105551234928,0.057354270028497,0.03985900813558,0.191561908154396,0.449219635720475,0.088590928852635,0.056986425626155
9,9,OCSVM,0.092469782708711,0.540253889881914,0.039459330196801,0.345435503556964,0.077090335131779,0.080071835557263,0.427965992189263,0.48979297048507,0.061114822675578,0.202459298710545
10,10,Nu-OCSVM,0.021033826007063,0.527318836656066,0.023468848990527,0.508158508158508,0.077128976651422,0.088855673447232,0.090510876829088,0.012244151224138,0.061114822675578,0.202069524659058
11,11,RED1,0.013576411505442,0.56324304489419,0.257927042137568,0.015771725924293,0.053159899225616,0.044938424847581,0.208054093558358,0.476490594654528,0.048251009730416,0.065199233153814
12,12,RED2,0.015348672354809,0.531721653034844,0.374956248630228,0.01552685230412,0.040976505369747,0.218920428714162,0.219338812496113,0.4584938994068,0.063513416926823,0.139427114290334
