,Unnamed: 0,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv,kdd99-unsupervised-ad.csv
0,0,ISO,0.009550035236703482,0.6120809426065037,0.4556556593929438,0.015245922141688503,0.037990380295042966,0.6037758885437399,0.17993945937918698,0.6113247386122214,0.045243874652706725,0.3384804368594986
1,1,KNN,0.019867154540961628,0.5201933708400752,0.27686097792536624,0.013866290240541826,0.06640360954654345,0.1595045167892014,0.30205091096029785,0.3863453454533027,0.05752767033879989,0.1665244326489627
2,2,KthNN,0.0180020113501394,0.5149333257583181,0.2962116065106223,0.013795756966535495,0.06246277819937859,0.14928791816874146,0.2875510440835777,0.3858199419421179,0.05479277166971402,0.15134319299805687
3,3,LOF,0.01563808698514138,0.493521186898691,0.5078348205505071,0.014813972546113212,0.07643218796839793,0.02208105888552269,0.2860487659647876,0.30572405880885034,0.07468908781230336,0.01012442103196631
4,4,CBLOF,0.004014518565722908,0.113490315711592,0.02193672457223045,0.01924497814931562,0.0348216204725498,0.3743945336814015,0.04628837198455302,0.007656979819021981,0.0425979863531325,0.030322132241508506
5,5,uCBLOF,0.013670551778213543,0.4847660672243136,0.2959502416275037,0.013670597351540605,0.05619214467640617,0.06667172709613656,0.29313380645989706,0.3730010915747193,0.04486013864843455,0.09352931979677036
6,6,LOoP,0.019056748932964752,0.4894668830035576,0.4694425614824437,0.0156284278075859,0.08754005685129107,0.02785741284020949,0.2689964885033181,0.29118215895955,0.07899552489906493,0.0
7,7,LDCOF,0.015795497491879713,0.2921595828965844,0.2098533163265306,0.0081426909654905,0.34933744588744586,0.0985924539163334,0.2322916666666667,0.2793465856693931,0.05435029045601342,0.07107286381189175
8,8,HBOS,0.008541679112578521,0.537608096475323,0.451159441182768,0.016308211463783653,0.035915895793884024,0.9106350742282534,0.14964830521894196,0.5807492468474319,0.11823751514939974,0.6902215686894088
9,9,OCSVM,0.16551058944986444,0.5333790905589308,0.02635423940226319,0.34543967670691705,0.07701596566475273,0.10144930194004163,0.08268206899553593,0.013664526998660966,0.0609792982527177,0.2062114830514322
10,10,Nu-OCSVM,0.09459739928301393,0.1328221851070399,0.0267702423673648,0.5081553398058253,0.07582517560837612,0.1202691134110956,0.055017594043210376,0.01648463984766397,0.0609792982527177,0.20571561374381359
