,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv,kdd99-unsupervised-ad.csv
0,ISO,0.0028,0.6594,0.5801,0.0191,0.0334,0.9894,0.0928,0.7143,0.0687,0.5471
1,KNN,0.0621,0.8722,0.5307,0.0229,0.0906,0.2554,0.3952,0.6432,0.0509,0.140778254786018
2,KthNN,0.0457,0.9255,0.5599,0.0171,0.0714,0.2713,0.3113,0.6343,0.0477,0.155144933992539
3,LOF,0.0725,0.5969,0.9065,0.0282,0.1036,0.0306,0.5763,0.6736,0.067,0.007238263531118
4,CBLOF,0.3217,0.1321,0.026,0.0376,0.0416,0.6321,0.3537,0.0856,0.0747,0.0793
5,uCBLOF,0.0118,0.9314,0.7956,0.0173,0.0429,0.9248,0.2893,0.6267,0.0431,0.6824
6,LOoP,0.0503,0.4911,0.6449,0.0451,0.1252,0.0419,0.5728,0.3212,0.0711,0
7,LDCOF,0.062,0.9501,0.7287,0.0184,0.0471,0.9511,0.2628,0.6142,0.0605,0.2041
8,HBOS,0.0026,0.2604,0.5713,0.0189,0.0344,0.95,0.1178,0.6416,0.1802,0.7185
9,OCSVM,0.002,0.6867,0.572,0.0219,0.0427,0.9308,0.125,0.6509,0.0344,0.5452
10,Nu-OCSVM,0.0019,0.677,0.5691,0.0262,0.0425,0.9302,0.1176,0.6332,0.0344,0.5455
11,AE,0.0012,0.2803,0.6286,0.0185,0.0355,0.8232,0.0698,0.6012,0.0878,0.6669
