,Unnamed: 0,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv,kdd99-unsupervised-ad.csv
0,0,ISO,0.020298177533032948,0.2975562575836662,0.3113395842376597,0.017317716389285413,0.045324932831839235,0.4839762904076573,0.17053329754394833,0.4619996802248405,0.0498007925102042,0.2592546155866048
1,1,KNN,0.06565374166909274,0.6648508810744871,0.3648995647209933,0.01569076222843617,0.09302065315061564,0.21684024922916484,0.2861201922398367,0.3339430492811026,0.0531534620795694,0.11312017406979302
2,2,KthNN,0.056920877013599575,0.714606637763137,0.384547372480916,0.015460038782639697,0.07967057470446902,0.20501051111702367,0.2553415557946385,0.2256583319483737,0.04973504715155869,0.12399454371687624
3,3,LOF,0.0860683754575934,0.35168196820415365,0.346169493438401,0.016504778933179948,0.10195743478817718,0.02709752459354212,0.2943476934002225,0.2820610994567108,0.0887022606818375,0.004676026171353629
4,4,CBLOF,0.004502115302878093,0.19901857829292152,0.016113047185444075,0.015581580365343562,0.041747463699617286,0.017170933290484577,0.13229271886719224,0.0319191186875889,0.062169628388345825,0.023031506159434802
5,5,uCBLOF,0.02631625478921576,0.6577482115904636,0.3685233417376274,0.015339745514189191,0.051421198445460656,0.893608118191695,0.2569298130765518,0.10000710296372957,0.040381632149663255,0.6445051614070888
6,6,LOoP,0.05118597440157949,0.34817578597689514,0.31564397032558433,0.01720280080968327,0.12748592937062372,0.036401706549533036,0.3081641475036937,0.1221301685522164,0.08811432868050828,0.0
7,7,LDCOF,0.06037587399217026,0.3578268684780547,0.08503401360544219,0.013148399465770538,0.050246487008331314,0.009454556635100234,0.1610846681255404,0.274451995602943,0.03667115254431562,0.01743115211253805
8,8,HBOS,0.02057970209848933,0.1979954340070693,0.25268041003648,0.01637109222984334,0.05143735922971445,0.8552446343893583,0.20205073301300586,0.4413649513684241,0.09736532537063207,0.5367255955395602
9,9,OCSVM,0.008135785956465925,0.5631965126175816,0.3800471571944104,0.018385614399556827,0.051303171522454234,0.8898477549288601,0.13526246477200474,0.4740776538122533,0.03374672542501389,0.5305018629002415
10,10,Nu-OCSVM,0.009850982476296241,0.5517326590131582,0.38204226419160303,0.01583595599158997,0.05085283734061745,0.889746786864854,0.1429813596368608,0.4605055005684294,0.03374672542501389,0.5242715944946376
