,dataset,accuracy
0,pen-local-unsupervised-ad.csv,0.7674
1,pen-global-unsupervised-ad.csv,0.8098
2,breast-cancer-unsupervised-ad.csv,0.8844
3,speech-unsupervised-ad.csv,0.1112
4,aloi-unsupervised-ad.csv,0.5556
5,shuttle-unsupervised-ad.csv,0.7534
6,letter-unsupervised-ad.csv,0.7994
7,satellite-unsupervised-ad.csv,0.9203
8,annthyroid-unsupervised-ad.csv,0.2625
