,dataset,accuracy
0,pen-local-unsupervised-ad.csv,0.9044
1,pen-global-unsupervised-ad.csv,0.9333
2,breast-cancer-unsupervised-ad.csv,0.9765
3,speech-unsupervised-ad.csv,0.3828
4,aloi-unsupervised-ad.csv,0.7935
5,shuttle-unsupervised-ad.csv,0.8491
6,letter-unsupervised-ad.csv,0.9197
7,satellite-unsupervised-ad.csv,0.9638
8,annthyroid-unsupervised-ad.csv,0.3898
