,dataset,accuracy
0,pen-local-unsupervised-ad.csv,0.7224
1,pen-global-unsupervised-ad.csv,0.7461
2,breast-cancer-unsupervised-ad.csv,0.8474
3,speech-unsupervised-ad.csv,0.0717
4,aloi-unsupervised-ad.csv,0.4985
5,shuttle-unsupervised-ad.csv,0.7489
6,letter-unsupervised-ad.csv,0.7515
7,satellite-unsupervised-ad.csv,0.8935
8,annthyroid-unsupervised-ad.csv,0.2379
