,dataset,accuracy
0,pen-local-unsupervised-ad.csv,0.9356
1,pen-global-unsupervised-ad.csv,0.9668
2,breast-cancer-unsupervised-ad.csv,0.9941
3,speech-unsupervised-ad.csv,0.5849
4,aloi-unsupervised-ad.csv,0.8535
5,shuttle-unsupervised-ad.csv,0.8617
6,letter-unsupervised-ad.csv,0.9497
7,satellite-unsupervised-ad.csv,0.9696
8,annthyroid-unsupervised-ad.csv,0.4551
