,dataset,accuracy
0,pen-local-unsupervised-ad.csv,0.9618
1,pen-global-unsupervised-ad.csv,0.9916
2,breast-cancer-unsupervised-ad.csv,0.9998
3,speech-unsupervised-ad.csv,0.7826
4,aloi-unsupervised-ad.csv,0.9266
5,shuttle-unsupervised-ad.csv,0.9038
6,letter-unsupervised-ad.csv,0.9754
7,satellite-unsupervised-ad.csv,0.9768
8,annthyroid-unsupervised-ad.csv,0.5649
