,dataset,accuracy
0,pen-local-unsupervised-ad.csv,0.8349
1,pen-global-unsupervised-ad.csv,0.8744
2,breast-cancer-unsupervised-ad.csv,0.9237
3,speech-unsupervised-ad.csv,0.1734
4,aloi-unsupervised-ad.csv,0.6728
5,shuttle-unsupervised-ad.csv,0.8218
6,letter-unsupervised-ad.csv,0.8634
7,satellite-unsupervised-ad.csv,0.9437
8,annthyroid-unsupervised-ad.csv,0.3259
