,dataset,accuracy
0,pen-local-unsupervised-ad.csv,0.9568
1,pen-global-unsupervised-ad.csv,0.9876
2,breast-cancer-unsupervised-ad.csv,0.9993
3,speech-unsupervised-ad.csv,0.7941
4,aloi-unsupervised-ad.csv,0.9049
5,shuttle-unsupervised-ad.csv,0.8777
6,letter-unsupervised-ad.csv,0.9719
7,satellite-unsupervised-ad.csv,0.9757
8,annthyroid-unsupervised-ad.csv,0.5348
