,Unnamed: 0,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv,kdd99-unsupervised-ad.csv
0,0,ISO,0.940868877876752,0.901827132443434,0.890992541594951,0.445529966026616,0.570990546930238,0.890729454977022,0.823061224489796,0.944313858398566,0.571661257730696,0.986832960113122
1,1,KNN,0.952421487854559,0.908517151061883,0.884107860011474,0.456388310152599,0.650690709832237,0.972743220239874,0.869224489795918,0.947391437442603,0.771041577368195,0.982754286401149
2,2,KthNN,0.948226066336302,0.907696677080375,0.886402753872633,0.449349625541979,0.625134412561867,0.960307908134082,0.858353741496599,0.947495298902348,0.755172371563285,0.986547871443283
3,3,LOF,0.906545465600584,0.884849632364543,0.874354561101549,0.461550012200387,0.723055414577664,0.635319698522755,0.854163265306122,0.935666025276599,0.782408915559366,0.634925239569299
4,4,CBLOF,0.488705803666434,0.347660071318123,0.136546184738956,0.515879272481559,0.468525755879559,0.559877262754576,0.401142857142857,0.099297021909302,0.586183332312779,0.340702864788079
5,5,uCBLOF,0.918675706077281,0.911609706838335,0.848537005163511,0.444844867391182,0.581665702511802,0.917112255456128,0.847741496598639,0.944953426334893,0.700418835343825,0.971342483938412
6,6,LOoP,0.934089319916092,0.882577550569598,0.879518072289157,0.468992248062015,0.739620939836736,0.610009001716518,0.854843537414966,0.922366292036559,0.745551405302798,0
7,7,LDCOF,0.858936551849938,0.88229354034523,0.835915088927137,0.454070236687501,0.555716768795663,0.904410535346069,0.777714285714286,0.88053745572222,0.575888800440879,0.901435718882479
8,8,HBOS,0.943483415924361,0.901637792293856,0.919104991394148,0.457364341085271,0.563659705892593,0.81328475514847,0.762761904761905,0.945494599204093,0.818796154552691,0.975721497203269
9,9,OCSVM,0.962423615966923,0.488276689071918,0.462994836488812,0.545479287497419,0.594249234702076,0.918605781125034,0.475557823129252,0.475912340927975,0.725628559181924,0.983118318144156
10,10,Nu-OCSVM,0.37749673182744,0.485121019912272,0.436603557085485,0.500591249507292,0.593656890426478,0.936629444454212,0.465795918367347,0.146231468929024,0.725628559181924,0.983134219635392
11,11,RED1,0.939592010458152,0.910442109249266,0.912220309810671,0.4584436060589,0.573234815453617,0.652939367464438,0.808843537414966,0.945784318012857,0.609857326556855,0.952397695295584
12,12,RED2,0.949472532149698,0.906907759790463,0.903040734366036,0.457702197946581,0.572508351545147,0.885382644293082,0.825333333333333,0.948205929942712,0.706299675463842,0.993267791785513
