,Unnamed: 0,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv,kdd99-unsupervised-ad.csv
0,0,ISO,0.015278018626295,0.533799727000223,0.240522987324584,0.014924015070484,0.038718327600962,0.157130043155915,0.218643081953904,0.456983601295993,0.063213230247774,0.205568287663303
1,1,KNN,0.020320463211129,0.551912651604274,0.387426244315751,0.014945480580805,0.065261139989264,0.330623100642783,0.307861893303951,0.414719388065504,0.084480074444615,0.199952173741183
2,2,KthNN,0.019185801925617,0.545148042250165,0.409804329020274,0.014389388486357,0.058415255385353,0.284937661247783,0.290115603559523,0.432479785829462,0.079431274196855,0.191902016968557
3,3,LOF,0.022608046142536,0.487624666077979,0.414986134186525,0.014882597556595,0.080555171707717,0.058747898647703,0.337722892098247,0.309173537049668,0.094926311287261,0.004169021784776
4,4,CBLOF,0.001435903775674,0.079423969457215,0.014744899965371,0.016793542387699,0.028812793129039,0.09077522403982,0.05795267475944,0.007650817960358,0.106355569851128,0.003144244141388
5,5,uCBLOF,0.014208786365204,0.544256588309038,0.350365772209005,0.013919211311085,0.049111687973654,0.270179321031524,0.257170378410711,0.412469855284058,0.072012360812704,0.135657394133638
6,6,LOoP,0.024181411142129,0.470560553621073,0.418045961427766,0.014979321582243,0.094272480251057,0.033972920665466,0.327120344641948,0.274895086772864,0.091737038674277,0
7,7,LDCOF,0.00836609056968,0.539425054871337,0.35660672305334,0.013655799535448,0.054957013059084,0.228034524842888,0.217606987312655,0.206385006215071,0.048821979127531,0.014751536289036
8,8,HBOS,0.012313917086844,0.561414428471191,0.372550152701798,0.015577727354083,0.043913762046182,0.189905030339539,0.168462741535862,0.456884054188283,0.119861811454423,0.21709322560612
9,9,OCSVM,0.02614016202097,0.113329499385149,0.024025774285352,0.345431335982361,0.076436617903826,0.254752419595446,0.059641466367995,0.015383626255107,0.085789657476505,0.242575241811007
10,10,Nu-OCSVM,0.001106325630062,0.104181434952305,0.022015377604807,0.508152173913043,0.076290230558839,0.269463482509456,0.054356813189125,0.007939770298438,0.085789657476505,0.24208295418311
11,11,RED1,0.013576411505442,0.56324304489419,0.257927042137568,0.015771725924293,0.053159899225616,0.044938424847581,0.208054093558358,0.476490594654528,0.048251009730416,0.107226284267285
12,12,RED2,0.015348672354809,0.531721653034844,0.374956248630228,0.01552685230412,0.040976505369747,0.218920428714162,0.219338812496113,0.4584938994068,0.063513416926823,0.227216585528594
