,dataset,accuracy
0,pen-local-unsupervised-ad.csv,0.8012
1,pen-global-unsupervised-ad.csv,0.7704
2,breast-cancer-unsupervised-ad.csv,0.7583
3,speech-unsupervised-ad.csv,0.3306
4,aloi-unsupervised-ad.csv,-71.1099
5,shuttle-unsupervised-ad.csv,-30.726
6,letter-unsupervised-ad.csv,0.7111
7,satellite-unsupervised-ad.csv,0.9436
8,annthyroid-unsupervised-ad.csv,-2.0965
